Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
WRITE TEST CASES FOR VIDEO PREVIEW ,UN-63,10203,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:29 AM,02/Apr/26 10:29 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@164cb70e,,,,,,,,,,,,,,,,0|i000fz:,,,UN Sprint 1,,,,,,,,,,,,10197,UN-60,WRITE FUNCTIONALITY  TEST CASE FOR COURSE DETAIL PAGE ,To Do,02/Apr/26 10:29 AM
WRITE TEST CASES FOR ENROLL NOW BUTTON,UN-64,10205,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:30 AM,02/Apr/26 10:30 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6316b70b,,,,,,,,,,,,,,,,0|i000g7:,,,UN Sprint 1,,,,,,,,,,,,10197,UN-60,WRITE FUNCTIONALITY  TEST CASE FOR COURSE DETAIL PAGE ,To Do,02/Apr/26 10:30 AM
WRITE FUNCTIONALITY TEST CASES FOR MY COURSES MODULE,UN-65,10206,Task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:33 AM,02/Apr/26 10:33 AM,02/Apr/26 10:33 AM,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5222ca00,,,,,,,,,,,,,,,,0|i000gf:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,02/Apr/26 10:33 AM
WRITE TEST CASES FOR ENROLLED COURSE,UN-66,10208,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:33 AM,02/Apr/26 10:33 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b7e7691,,,,,,,,,,,,,,,,0|i000gn:,,,UN Sprint 1,,,,,,,,,,,,10206,UN-65,WRITE FUNCTIONALITY TEST CASES FOR MY COURSES MODULE,To Do,02/Apr/26 10:33 AM
WRITE TEST CASES FOR COURSE PROGRESS FIELD,UN-67,10210,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:34 AM,02/Apr/26 10:34 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6144d03f,,,,,,,,,,,,,,,,0|i000gv:,,,UN Sprint 1,,,,,,,,,,,,10206,UN-65,WRITE FUNCTIONALITY TEST CASES FOR MY COURSES MODULE,To Do,02/Apr/26 10:34 AM
WRITE TEST CASES FOR CONTINUE LEARNING STATE,UN-68,10212,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:35 AM,02/Apr/26 10:35 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@130a9a5f,,,,,,,,,,,,,,,,0|i000h3:,,,UN Sprint 1,,,,,,,,,,,,10206,UN-65,WRITE FUNCTIONALITY TEST CASES FOR MY COURSES MODULE,To Do,02/Apr/26 10:35 AM
WRITE FUNCTIONALITY  TEST CASE FOR VIDEO PLAYER MODULE,UN-69,10213,Task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:35 AM,02/Apr/26 10:36 AM,02/Apr/26 10:36 AM,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2a92d20e,,,,,,,,,,,,,,,,0|i000hb:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,02/Apr/26 10:35 AM
WRITE TEST CASES FOR PLAY/PAUSE BUTTON,UN-70,10215,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:37 AM,02/Apr/26 10:37 AM,,,,0,"Create and document functional test cases to verify the correct operation of the play and pause button in the video player module, including toggling between states and expected video playback behavior.",,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7c9eb1ce,,,,,,,,,,,,,,,,0|i000hj:,,,UN Sprint 1,,,,,,,,,,,,10213,UN-69,WRITE FUNCTIONALITY  TEST CASE FOR VIDEO PLAYER MODULE,To Do,02/Apr/26 10:37 AM
WRITE TEST CASES FOR SEEK BAR,UN-71,10217,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:37 AM,02/Apr/26 10:37 AM,,,,0,"Develop test cases to validate the seek bar functionality, ensuring users can seek to different positions in the video and that the video resumes correctly from the selected position.",,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2006c342,,,,,,,,,,,,,,,,0|i000hr:,,,UN Sprint 1,,,,,,,,,,,,10213,UN-69,WRITE FUNCTIONALITY  TEST CASE FOR VIDEO PLAYER MODULE,To Do,02/Apr/26 10:37 AM
WRITE TEST CASES FOR PROGRESS TREACKING,UN-72,10219,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:38 AM,02/Apr/26 10:38 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@a08e56,,,,,,,,,,,,,,,,0|i000hz:,,,UN Sprint 1,,,,,,,,,,,,10213,UN-69,WRITE FUNCTIONALITY  TEST CASE FOR VIDEO PLAYER MODULE,To Do,02/Apr/26 10:38 AM
WRITE TEST CASES FOR AUTO PLAY NEXT VIDEO,UN-73,10221,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:38 AM,02/Apr/26 10:38 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@412e6023,,,,,,,,,,,,,,,,0|i000i7:,,,UN Sprint 1,,,,,,,,,,,,10213,UN-69,WRITE FUNCTIONALITY  TEST CASE FOR VIDEO PLAYER MODULE,To Do,02/Apr/26 10:38 AM
WRITE FUNCTIONALITY TEST CASES FOR REVIEWS AND RATING MODULE,UN-74,10222,Task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:40 AM,02/Apr/26 10:40 AM,02/Apr/26 10:40 AM,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@521ee86e,,,,,,,,,,,,,,,,0|i000if:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,02/Apr/26 10:40 AM
WRITE TEST CASES FOR ADD REVIEW FUNCTIONALITY,UN-75,10224,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:40 AM,02/Apr/26 10:40 AM,,,,0,"Create and document test cases to verify that users can successfully add a review, including input validation and error handling.",,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2464a762,,,,,,,,,,,,,,,,0|i000in:,,,UN Sprint 1,,,,,,,,,,,,10222,UN-74,WRITE FUNCTIONALITY TEST CASES FOR REVIEWS AND RATING MODULE,To Do,02/Apr/26 10:40 AM
WRITE TEST CASES FOR VIEWIING  REVIEWS AND RATINGS,UN-76,10226,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:41 AM,02/Apr/26 10:41 AM,,,,0,"Develop test cases to check that reviews and ratings are displayed correctly for each item, including sorting and filtering if applicable.",,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@33012170,,,,,,,,,,,,,,,,0|i000iv:,,,UN Sprint 1,,,,,,,,,,,,10222,UN-74,WRITE FUNCTIONALITY TEST CASES FOR REVIEWS AND RATING MODULE,To Do,02/Apr/26 10:41 AM
SYSTEM IS NOT ACCEPTING VALID FULL NAME,UN-77,10227,Bug,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:46 AM,02/Apr/26 10:46 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@945df19,,,,,,,,,,,,,,,,0|i000j3:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,02/Apr/26 10:46 AM
